Country,2018 score
 Iceland,1.096
 New Zealand,1.192
 Austria,1.274
 Portugal,1.318
 Denmark,1.353
 Canada,1.372
 Czech Republic,1.381
 Singapore,1.382
 Japan,1.391
 Ireland,1.393
 Slovenia,1.396
  Switzerland,1.407
 Australia,1.435
 Sweden,1.502
 Finland,1.506
 Norway,1.519
 Germany,1.531
 Hungary,1.531
 Bhutan,1.545
 Mauritius,1.548
 Belgium,1.56
 Slovakia,1.568
 Netherlands,1.574
 Romania,1.596
 Malaysia,1.619
 Bulgaria,1.635
 Croatia,1.639
 Chile,1.649
 Botswana,1.659
 Spain,1.678
 Latvia,1.689
 Poland,1.727
 Estonia,1.732
 Taiwan,1.736
 Sierra Leone,1.74
 Lithuania,1.749
 Uruguay,1.761
 Italy,1.766
 Madagascar,1.766
 Costa Rica,1.767
 Ghana,1.772
 Kuwait,1.799
 Namibia,1.806
 Malawi,1.811
 United Arab Emirates,1.82
 Laos,1.821
 Mongolia,1.821
 Zambia,1.822
 South Korea,1.823
 Panama,1.826
 Tanzania,1.837
 Albania,1.849
 Senegal,1.849
 Serbia,1.851
 Indonesia,1.853
 Qatar,1.869
 United Kingdom,1.876
 Montenegro,1.893
 Timor-Leste,1.895
 Vietnam,1.905
 France,1.909
 Cyprus,1.913
 Liberia,1.931
 Moldova,1.939
 Equatorial Guinea,1.946
 Argentina,1.947
 Sri Lanka,1.954
 Nicaragua,1.96
 Benin,1.973
 Kazakhstan,1.974
 Morocco,1.979
 Swaziland,1.98
 Oman,1.984
 Peru,1.986
 Ecuador,1.987
 Gambia,1.989
 Paraguay,1.997
 Tunisia,1.998
 Greece,2.02
 Burkina Faso,2.029
 Cuba,2.037
 Guyana,2.043
 Angola,2.048
   Nepal,2.053
 Trinidad and Tobago,2.053
 Mozambique,2.056
 Macedonia,2.058
 Haiti,2.064
 Bosnia and Herzegovina,2.065
 Jamaica,2.068
 Dominican Republic,2.073
 Kosovo,2.078
 Bangladesh,2.084
 Bolivia,2.092
 Gabon,2.099
 Cambodia,2.101
 Guinea,2.101
 Jordan,2.104
 Togo,2.104
 Papua New Guinea,2.109
 Belarus,2.112
 Georgia,2.13
 Rwanda,2.14
 Lesotho,2.144
 Uzbekistan,2.144
 Brazil,2.16
 Uganda,2.168
 Kyrgyzstan,2.181
 Algeria,2.182
 Ivory Coast,2.207
 Guatemala,2.214
 China,2.243
 Thailand,2.259
 Tajikistan,2.266
 Djibouti,2.269
 El Salvador,2.275
 Guinea-Bissau,2.275
 Honduras,2.282
 Turkmenistan,2.283
 Armenia,2.287
 United States,2.3
 Myanmar,2.302
 Kenya,2.315
 Zimbabwe,2.326
 South Africa,2.328
 Republic of the Congo,2.343
 Mauritania,2.355
 Niger,2.359
 Saudi Arabia,2.417
 Bahrain,2.437
 Iran,2.439
 Azerbaijan,2.454
 Cameroon,2.484
 Burundi,2.488
 Chad,2.498
 India,2.504
 Philippines,2.512
 Eritrea,2.522
 Ethiopia,2.524
 Mexico,2.583
 Palestine,2.621
 Egypt,2.632
 Venezuela,2.642
 Mali,2.686
 Colombia,2.729
 Israel,2.764
 Lebanon,2.778
 Nigeria,2.873
 Turkey,2.898
 North Korea,2.95
 Pakistan,3.079
 Ukraine,3.113
 Sudan,3.155
 Russia,3.16
 Central African Republic,3.236
 Democratic Republic of the Congo,3.251
 Libya,3.262
 Yemen,3.305
 Somalia,3.367
 Iraq,3.425
 South Sudan,3.508
 Afghanistan,3.585
 Syria,3.6
